Num,WriteT,WriteV,ReadT,ReadV,
1990,47,43574,97343,21,
1992,47,43574,100020,20,
1994,104,19692,123810,16,
1996,47,43574,102740,19,
1998,47,43574,-830240,-2,
2000,47,43574,110341,18,
2002,70,29257,113955,17,
2004,48,42666,105950,19,
2006,47,43574,97010,21,
2008,48,42666,122136,16,
2010,47,43574,117004,17,
2012,71,28845,140493,14,
2014,47,43574,-783636,-2,
2016,93,22021,88879,23,
2018,47,43574,103399,19,
2020,71,28845,159674,12,
2022,48,42666,100548,20,
2024,48,42666,111432,18,
2026,48,42666,71315,28,
2028,48,42666,90439,22,
2030,71,28845,116608,17,
2032,49,41795,-804887,-2,
2034,48,42666,110529,18,
2036,47,43574,69312,29,
2038,71,28845,104637,19,
2040,48,42666,92554,22,
2042,48,42666,97526,20,
2044,49,41795,103763,19,
2046,48,42666,104238,19,
2048,71,28845,123149,16,
2,3,682666,400,5120,
4,4,512000,518,3953,
6,4,512000,658,3112,
8,4,512000,766,2673,
10,3,682666,1122,1825,
12,4,512000,1102,1858,
14,3,682666,1047,1956,
16,3,682666,1393,1470,
18,4,512000,1488,1376,
20,4,512000,1860,1101,
22,3,682666,1258,1627,
24,3,682666,1249,1639,
26,5,409600,2037,1005,
28,3,682666,1477,1386,
30,3,682666,1577,1298,
32,3,682666,1704,1201,
34,4,512000,1754,1167,
36,5,409600,2596,788,
38,3,682666,2153,951,
40,3,682666,2424,844,
42,4,512000,2040,1003,
44,4,512000,2115,968,
46,4,512000,3474,589,
48,4,512000,2291,893,
